#pro1	pro2	combined score
ACP1	DPP1	9999.000000
ACP1	"DUR1,2"	0.706000
ACP1	ECI1	9999.000000
ACP1	EHD3	9999.000000
ACP1	EHT1	9999.000000
ACP1	ELO1	9999.000000
ACP1	ELO2	9999.000000
ACP1	ELO3	9999.000000
ACP1	EPT1	9999.000000
ACP1	ERG1	9999.000000
ACP1	ERG10	9999.000000
ACP1	ERG11	9999.000000
ACP1	ERG25	9999.000000
ACP1	ERG3	9999.000000
ACP1	ERG5	9999.000000
ACP1	ERG7	9999.000000
ACP1	ETR1	9999.000000
ACP1	FAA1	9999.000000
ACP1	FAA2	9999.000000
ACP1	FAA3	9999.000000
ACP1	FAA4	9999.000000
ACP1	FAS1	0.783000
ACP1	FAS2	0.839000
ACP1	FAT1	9999.000000
ACP1	FKS1	9999.000000
ACP1	FMP30	9999.000000
ACP1	FMS1	9999.000000
ACP1	FOX2	9999.000000
ACP1	GCY1	9999.000000
ACP1	GLN1	9999.000000
ACP1	GPP1	9999.000000
ACP1	GPP2	9999.000000
ACP1	GPT2	9999.000000
ACP1	GUT1	9999.000000
ACP1	GUT2	9999.000000
ACP1	HAT1	9999.000000
ACP1	HEM13	9999.000000
ACP1	HEM3	9999.000000
ACP1	HFA1	0.772000
ACP1	HFD1	9999.000000
ACP1	HMG1	9999.000000
ACP1	HMS1	9999.000000
ACP1	HRD1.00	9999.000000
ACP1	HTD2	9999.000000
ACP1	ICL1	9999.000000
ACP1	IDP2	9999.000000
ACP1	IDP3	9999.000000
ACP1	IFA38	9999.000000
ACP1	INA1	9999.000000
ACP1	IZH2	9999.000000
ACP1	LAT1	9999.000000
ACP1	LCB2	9999.000000
ACP1	LDH1	9999.000000
ACP1	LOA1	9999.000000
ACP1	LPP1	9999.000000
ACP1	LRO1	9999.000000
ACP1	MAE1	9999.000000
ACP1	MCT1	0.992000
ACP1	MDH3	9999.000000
ACP1	MGA2	9999.000000
ACP1	MGL2	9999.000000
ACP1	MLC1	9999.000000
ACP1	MLC2	9999.000000
ACP1	MLS1	9999.000000
ACP1	NCP1	9999.000000
ACP1	NPL4	9999.000000
ACP1	NTE1	9999.000000
ACP1	OAR1	0.793000
ACP1	OLE1	9999.000000
ACP1	OPI3	9999.000000
ACP1	PAC1	9999.000000
ACP1	PAH1	9999.000000
ACP1	PCD1	9999.000000
ACP1	PCS60	9999.000000
ACP1	PCT1	9999.000000
ACP1	PET10	9999.000000
ACP1	PEX1	9999.000000
ACP1	PEX10	9999.000000
ACP1	PEX11	9999.000000
ACP1	PEX12	9999.000000
ACP1	PEX13	9999.000000
ACP1	PEX14	9999.000000
ACP1	PEX18	9999.000000
ACP1	PEX19	9999.000000
ACP1	PEX5	9999.000000
ACP1	PEX6	9999.000000
ACP1	PEX7	9999.000000
ACP1	PHM8	9999.000000
ACP1	PHS1	9999.000000
ACP1	PIS1	9999.000000
ACP1	PLB1	9999.000000
ACP1	PLB2	9999.000000
ACP1	PLB3	9999.000000
ACP1	POT1	9999.000000
ACP1	POX1	0.729000
ACP1	PRE7	9999.000000
ACP1	PSD1	9999.000000
ACP1	PSD2	9999.000000
ACP1	PXA1	9999.000000
ACP1	PXA2	9999.000000
ACP1	PXP1	9999.000000
ACP1	ROG1	9999.000000
ACP1	RSP5	9999.000000
ACP1	SAY1	9999.000000
ACP1	SCT1	9999.000000
ACP1	SEI1	9999.000000
ACP1	SLC1	9999.000000
ACP1	SPO14	9999.000000
ACP1	SPS19	9999.000000
ACP1	SPT23	9999.000000
ACP1	STE23	9999.000000
ACP1	TES1	9999.000000
ACP1	TGL1	9999.000000
ACP1	TGL2	9999.000000
ACP1	TGL3	9999.000000
ACP1	TGL4	9999.000000
ACP1	TGL5	9999.000000
ACP1	YAT1	9999.000000
ACP1	YEH1	9999.000000
ACP1	YEH2	9999.000000
ACP1	YHL050C	9999.000000
ACP1	YJU3	9999.000000
ACP1	YLL067C	9999.000000
ACS1	ACB1	9999.000000
ACS1	ACC1	9999.000000
ACS1	ACP1	9999.000000
ACS1	ACS1	0.000000
ACS1	ACS2	0.978000
ACS1	ADH6	9999.000000
ACS1	ADH7	9999.000000
ACS1	ADR1	0.861000
ACS1	AIM45	9999.000000
ACS1	ALD2	0.942000
ACS1	ALD3	0.946000
ACS1	ALD4	0.960000
ACS1	ALD5	0.956000
ACS1	ALD6	0.949000
ACS1	ALE1	9999.000000
ACS1	AMD2.00	9999.000000
ACS1	ARE2	9999.000000
ACS1	ATG15	9999.000000
ACS1	AYR1	9999.000000
ACS1	CAT2	0.978000
ACS1	CDC48	9999.000000
ACS1	CDC60	9999.000000
ACS1	CDS1	9999.000000
ACS1	CEM1	9999.000000
ACS1	CFD1	9999.000000
ACS1	CHO1	9999.000000
ACS1	CHO2	9999.000000
ACS1	CIR1	9999.000000
ACS1	CIT1	0.990000
ACS1	CIT2	0.993000
ACS1	CIT3	0.997000
ACS1	CMD1	9999.000000
ACS1	CPT1	9999.000000
ACS1	CRC1.00	0.866000
ACS1	CTA1	0.735000
ACS1	CTT1	9999.000000
ACS1	CYB2	0.743000
ACS1	CYB5	9999.000000
ACS1	CYC1	9999.000000
ACS1	DCI1	9999.000000
ACS1	DGA1	9999.000000
ACS1	DGK1	9999.000000
