#node1	node2	combined_score
AYR1	FAT1	0.86
AYR1	IFA38	0.823
AYR1	SLC1	0.926
AYR1	CHO2	0.721
AYR1	EPT1	0.706
AYR1	PAH1	0.701
AYR1	OPI3	0.703
AYR1	YEH2	0.712
AYR1	YJU3	0.738
AYR1	YEH1	0.754
AYR1	PIS1	0.756
AYR1	HFD1	0.771
AYR1	DGA1	0.865
AYR1	LRO1	0.866
AYR1	TGL1	0.916
AYR1	TGL3	0.939
AYR1	LOA1	0.973
AYR1	GPT2	0.982
AYR1	TGL5	0.983
AYR1	TGL4	0.984
CAT2	YAT1	0.987
CAT2	FAT1	0.922
CAT2	CIT2	0.855
CAT2	PEX5	0.982
CAT2	CTA1	0.749
CAT2	PEX10	0.719
CAT2	PXP1	0.924
CAT2	FAA2	0.961
CAT2	YAT2	0.991
CAT2	ICL1	0.919
CAT2	PEX14	0.787
CAT2	POX1	0.989
CAT2	CTT1	0.92
CAT2	NCP1	0.906
CAT2	POT1	0.854
CAT2	TES1	0.957
CAT2	PXA2	0.719
CAT2	FOX2	0.999
CAT2	PCD1	0.911
CAT2	IDP2	0.993
CAT2	PEX13	0.852
CAT2	ECI1	0.839
CAT2	STE23	0.904
CAT2	PEX11	0.765
CAT2	PXA1	0.877
CAT2	CIT3	0.895
CAT2	FMS1	0.91
CAT2	MLS1	0.967
CAT2	SPS19	0.995
CAT2	CRC1.00	0.999
CDC48	PRE7	0.985
CDC48	NPL4	0.999
CDC48	OLE1	0.803
CDC48	SPT23	0.865
CDC48	RSP5	0.911
CDC48	HRD1.00	0.999
CDC48	UBX2	0.999
CDC60	FAS1	0.814
CDC60	FAS2	0.772
CDS1	GPT2	0.807
CDS1	PCT1	0.809
CDS1	EPT1	0.854
CDS1	DGA1	0.859
CDS1	CPT1	0.861
CDS1	PSD2	0.874
CDS1	CHO2	0.905
CDS1	LRO1	0.943
CDS1	TGL4	0.943
CDS1	PSD1	0.944
CDS1	OPI3	0.946
CDS1	LOA1	0.946
CDS1	TGL5	0.952
CDS1	LPP1	0.961
