#node1	node2	combined_score
LRO1	OPI3	0.865
LRO1	YJU3	0.774
LRO1	TGL1	0.877
LRO1	TGL4	0.991
LRO1	YEH1	0.77
LRO1	YEH2	0.788
LRO1	SEI1	0.749
LRO1	NTE1	0.809
LRO1	PLB2	0.718
LRO1	PAH1	0.993
LRO1	TGL3	0.995
LRO1	PSD1	0.705
LRO1	TGL5	0.987
MAE1	MDH3	0.987
MAE1	POX1	0.918
MAE1	MLS1	0.961
MCT1	OAR1	0.985
MCT1	SPS19	0.731
MDH3	PRE7	0.814
MDH3	PEX7	0.745
MDH3	POX1	0.815
MDH3	PEX5	0.908
MDH3	MLS1	0.985
MGA2	NPL4	0.842
MGA2	RSP5	0.986
MGA2	OLE1	0.99
MGA2	SPT23	0.819
MGL2	YJU3	0.837
MLC1	OLE1	0.703
MLC1	MLC2	0.986
MLC2	OLE1	0.703
MLS1	YAT2	0.834
MLS1	POX1	0.808
MLS1	POT1	0.887
NCP1	PXP1	0.901
NCP1	PEX14	0.822
NCP1	POX1	0.918
NCP1	SCS7	0.762
NCP1	STE23	0.9
NCP1	PCD1	0.9
NCP1	TES1	0.9
NCP1	SPS19	0.935
NPL4	OLE1	0.857
NPL4	SPT23	0.903
NPL4	UBX2	0.999
NTE1	SPO14	0.781
NTE1	TGL4	0.972
NTE1	PLB1	0.946
NTE1	PLB2	0.961
NTE1	PLB3	0.962
NTE1	TGL5	0.972
OAR1	POX1	0.716
OLE1	SCT1	0.904
OLE1	TSC13	0.947
OLE1	SLC1	0.779
OLE1	RSP5	0.723
OLE1	TYE7	0.704
OLE1	PCT1	0.706
OLE1	SPS19	0.713
OLE1	UBX2	0.72
OLE1	OPI3	0.767
OLE1	PIS1	0.779
OLE1	POX1	0.782
OLE1	PHS1	0.97
OLE1	SCS7	0.975
OLE1	SPT23	0.98
OPI3	SAH1	0.762
OPI3	PSD2	0.991
OPI3	PCT1	0.952
OPI3	PAH1	0.785
OPI3	PIS1	0.906
OPI3	TGL5	0.936
OPI3	TGL4	0.95
OPI3	SPO14	0.972
OPI3	PSD1	0.998
PAC1	TGL4	0.9
PAC1	TGL5	0.9
PAH1	SCT1	0.974
PAH1	SLC1	0.989
PAH1	PCT1	0.822
PAH1	SPO14	0.989
PAH1	TGL4	0.922
PAH1	SEI1	0.747
PAH1	PSD1	0.742
PAH1	PIS1	0.764
PAH1	TGL5	0.882
PAH1	TGL3	0.914
PCD1	PCS60	0.784
PCD1	PEX5	0.7
PCD1	PXP1	0.903
PCD1	POX1	0.938
PCD1	TES1	0.937
PCD1	PEX13	0.72
PCD1	STE23	0.902
PCD1	SPS19	0.911
PCS60	PEX11	0.712
PCS60	TES1	0.716
PCS60	PEX14	0.748
PCS60	PEX6	0.758
PCS60	PEX5	0.85
PCS60	POX1	0.896
PCS60	POT1	0.933
PCS60	PXP1	0.964
PCT1	PSD2	0.814
PCT1	PIS1	0.82
PCT1	SPO14	0.862
PCT1	PSD1	0.935
PET10	TGL1	0.71
PET10	YEH1	0.712
PET10	TGL3	0.744
PET10	SEI1	0.836
PEX1	PRE7	0.788
PEX1	PEX19	0.966
PEX1	PEX7	0.918
PEX1	PEX5	0.993
PEX1	PEX10	0.982
PEX1	PEX14	0.982
PEX1	POX1	0.807
PEX1	PEX18	0.82
PEX1	POT1	0.782
PEX1	PEX11	0.98
PEX1	PEX12	0.994
PEX1	PEX13	0.997
PEX1	PEX6	0.999
PEX10	PRE7	0.912
PEX10	PEX19	0.999
PEX10	PEX7	0.998
PEX10	PEX5	0.999
PEX10	PXP1	0.759
PEX10	PXA1	0.795
PEX10	PEX18	0.831
PEX10	POT1	0.862
PEX10	POX1	0.869
PEX10	TES1	0.904
PEX10	PEX6	0.996
PEX10	PEX11	0.999
PEX10	PEX14	0.999
PEX10	PEX13	0.999
PEX10	PEX12	0.999
PEX11	PRE7	0.899
PEX11	PEX19	0.999
PEX11	PEX7	0.982
PEX11	PEX5	0.999
PEX11	PEX14	0.999
PEX11	POX1	0.946
PEX11	POT1	0.816
PEX11	TES1	0.792
PEX11	PXA2	0.987
PEX11	PEX13	0.999
PEX11	PEX12	0.999
PEX11	SPS19	0.738
PEX11	PEX6	0.989
PEX11	PXA1	0.997
PEX12	PRE7	0.924
PEX12	PEX19	0.999
PEX12	PEX7	0.995
PEX12	PEX5	0.999
PEX12	PEX14	0.999
PEX12	POX1	0.894
PEX12	PEX18	0.866
PEX12	POT1	0.728
PEX12	TES1	0.816
PEX12	PXA2	0.959
PEX12	PEX13	0.999
PEX12	SPS19	0.713
PEX12	PXA1	0.974
PEX12	PEX6	0.996
PEX13	PRE7	0.962
PEX13	PEX19	0.999
PEX13	PEX7	0.999
PEX13	PEX5	0.999
PEX13	PXP1	0.831
PEX13	PEX14	0.999
PEX13	POX1	0.911
PEX13	PEX18	0.968
PEX13	POT1	0.924
PEX13	TES1	0.907
PEX13	PXA2	0.971
PEX13	SPS19	0.7
PEX13	PXA1	0.995
PEX13	PEX6	0.999
PEX14	PRE7	0.949
PEX14	PEX19	0.999
PEX14	PEX7	0.999
PEX14	PEX5	0.999
PEX14	PXP1	0.712
PEX14	POX1	0.933
PEX14	POT1	0.952
PEX14	PXA2	0.954
PEX14	PEX18	0.966
PEX14	PXA1	0.969
PEX14	PEX6	0.998
PEX18	PRE7	0.916
PEX18	PEX7	0.998
PEX18	PEX5	0.951
PEX18	POX1	0.755
PEX18	PEX6	0.866
PEX18	POT1	0.95
PEX19	PRE7	0.907
PEX19	TES1	0.712
PEX19	POX1	0.753
PEX19	PXA2	0.902
PEX19	PXA1	0.915
PEX19	PEX7	0.985
PEX19	PEX6	0.995
PEX19	PEX5	0.997
PEX5	PRE7	0.993
PEX5	PEX7	0.999
PEX5	PXA2	0.785
PEX5	PXA1	0.891
PEX5	TES1	0.899
PEX5	PXP1	0.905
PEX5	SPS19	0.919
PEX5	POT1	0.946
PEX5	POX1	0.986
PEX5	PEX6	0.998
PEX6	PRE7	0.929
PEX6	PEX7	0.991
PEX6	POX1	0.786
PEX6	PXA1	0.785
PEX7	PRE7	0.958
PEX7	PXA1	0.709
PEX7	POX1	0.96
PEX7	POT1	0.999
PHM8	SCT1	0.9
PHM8	SLC1	0.9
PHM8	TGL2	0.916
PHM8	TGL4	0.908
PHM8	TGL5	0.909
PHM8	TGL3	0.909
PHM8	YJU3	0.942
PHS1	TSC13	0.999
PIS1	SCT1	0.706
PIS1	PSD2	0.782
PIS1	SPO14	0.736
PIS1	PSD1	0.939
PLB1	TGL4	0.93
PLB1	PLB2	0.883
PLB1	PLB3	0.805
PLB1	TGL5	0.937
PLB2	TGL4	0.955
PLB2	PLB3	0.857
PLB2	TGL5	0.954
PLB3	TGL4	0.943
PLB3	TGL5	0.928
POT1	PRE7	0.706
POT1	POX1	0.999
POT1	PXA1	0.772
POT1	SPS19	0.795
POX1	YAT1	0.812
POX1	PRE7	0.88
POX1	PXP1	0.938
POX1	YAT2	0.877
POX1	TGL3	0.735
POX1	YJU3	0.756
POX1	UGA1	0.858
POX1	STE23	0.9
POX1	PXA2	0.937
POX1	PXA1	0.952
POX1	TES1	0.991
POX1	SPS19	0.994
PRE7	SPS19	0.709
PSD1	PSD2	0.99
PSD1	SPO14	0.982
PSD1	TGL4	0.954
PSD1	TGL5	0.957
PSD2	TGL4	0.95
PSD2	TGL5	0.955
PSD2	SPO14	0.96
PXA1	YAT1	0.794
PXA1	PXA2	0.994
PXA1	SPS19	0.775
PXA2	TES1	0.774
PXA2	SPS19	0.738
PXP1	TES1	0.931
PXP1	STE23	0.955
PXP1	SPS19	0.961
ROG1	TGL1	0.712
ROG1	YJU3	0.823
RSP5	SPT23	0.982
SAY1	YJU3	0.799
SCT1	TGL5	0.932
SCT1	TGL4	0.966
SCT1	SLC1	0.975
SEI1	TGL3	0.711
SLC1	TGL4	0.811
SLC1	TGL5	0.811
SLC1	SPO14	0.924
SPO14	TGL5	0.935
SPO14	TGL4	0.945
SPS19	TES1	0.97
SPS19	STE23	0.906
SPT23	UBX2	0.786
STE23	TES1	0.905
TES1	TSC13	0.915
TGL1	TGL2	0.827
TGL1	YJU3	0.85
TGL1	TGL4	0.985
TGL1	TGL5	0.987
TGL1	TGL3	0.996
TGL2	YEH2	0.731
TGL2	TGL4	0.959
TGL2	TGL5	0.961
TGL2	TGL3	0.979
TGL2	YJU3	0.988
TGL3	YJU3	0.989
TGL3	TGL4	0.976
TGL3	YEH1	0.894
TGL3	YEH2	0.9
TGL3	TGL5	0.959
TGL4	YJU3	0.989
TGL4	YEH1	0.867
TGL4	YEH2	0.881
TGL4	TGL5	0.984
TGL5	YJU3	0.989
TGL5	YEH1	0.871
TGL5	YEH2	0.897
YAT1	YAT2	0.974
YEH1	YJU3	0.753
YEH2	YJU3	0.799
YHL050C	YRF1-5	0.975
YHL050C	YLL067C	0.988
YJU3	YPR147C	0.766
YLL067C	YRF1-5	0.988
